unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1760918400000,2025-10-20 00:00:00,BTC/USD,108678.4,111737.88,107473.98,110573.42,331.12924628,36614093.22320188
1760832000000,2025-10-19 00:00:00,BTC/USD,107207.88,109500.0,106136.36,108678.4,201.56155827,21905387.654290367
1760745600000,2025-10-18 00:00:00,BTC/USD,106484.31,107534.6,106208.6,107207.88,145.82318483,15633394.500472462
1760659200000,2025-10-17 00:00:00,BTC/USD,108216.42,109250.0,103000.0,106484.31,884.32595866,94166839.52299862
1760572800000,2025-10-16 00:00:00,BTC/USD,110774.82,112035.44,107500.0,108216.42,683.44516425,73959988.94144697
1760486400000,2025-10-15 00:00:00,BTC/USD,113098.21,113676.12,110200.0,110774.82,498.89321628,55264806.23263807
1760400000000,2025-10-14 00:00:00,BTC/USD,115269.71,115495.04,109959.95,113098.21,558.57102931,63173383.57281853
1760313600000,2025-10-13 00:00:00,BTC/USD,115056.93,116072.42,113699.45,115269.71,410.86393476,47360166.60924412
1760227200000,2025-10-12 00:00:00,BTC/USD,110772.27,115866.0,109690.46,115056.93,347.0056691,39925406.979241855
1760140800000,2025-10-11 00:00:00,BTC/USD,113063.2,113745.41,109699.71,110772.27,468.71255311,51920353.48549026
1760054400000,2025-10-10 00:00:00,BTC/USD,121702.31,122590.34,105000.0,113063.2,1037.88527968,117346630.95351577
1759968000000,2025-10-09 00:00:00,BTC/USD,123329.27,123817.83,119713.91,121702.31,408.29647156,49690623.7537013
1759881600000,2025-10-08 00:00:00,BTC/USD,121376.43,124233.31,121101.89,123329.27,411.3992038,50737563.4832353
1759795200000,2025-10-07 00:00:00,BTC/USD,124747.28,125233.84,120633.01,121376.43,463.61679808,56272151.838981256
1759708800000,2025-10-06 00:00:00,BTC/USD,123501.88,126327.15,122984.0,124747.28,448.96405492,56007044.66904062
1759622400000,2025-10-05 00:00:00,BTC/USD,122433.96,125369.7,121915.9,123501.88,323.94805344,40008193.62218047
1759536000000,2025-10-04 00:00:00,BTC/USD,122309.2,122877.48,121587.12,122433.96,130.4827424,15975518.863691906
1759449600000,2025-10-03 00:00:00,BTC/USD,120605.87,124012.64,119342.72,122309.2,608.25623565,74395333.57736298
1759363200000,2025-10-02 00:00:00,BTC/USD,118625.6,121155.0,118363.9,120605.87,473.70918924,57132108.89528484
1759276800000,2025-10-01 00:00:00,BTC/USD,114061.18,118726.52,113987.84,118625.6,594.00023224,70463633.94960934
1759190400000,2025-09-30 00:00:00,BTC/USD,114393.67,114850.02,112717.42,114061.18,374.01495075,42665086.62018689
1759104000000,2025-09-29 00:00:00,BTC/USD,112209.02,114492.57,111590.97,114393.67,353.06094847,40387937.62916419
1759017600000,2025-09-28 00:00:00,BTC/USD,109691.15,112386.4,109233.11,112209.02,80.2960253,9009938.312174479
1758931200000,2025-09-27 00:00:00,BTC/USD,109688.37,109794.02,109126.58,109691.15,130.8177305,14349547.578647505
1758844800000,2025-09-26 00:00:00,BTC/USD,109037.59,110457.69,108673.54,109688.37,479.20605019,52563330.539479285
1758758400000,2025-09-25 00:00:00,BTC/USD,113352.92,113562.79,108622.32,109037.59,398.79957734,43484144.80617221
1758672000000,2025-09-24 00:00:00,BTC/USD,112013.61,114024.97,111091.73,113352.92,264.99195027,30037611.33959929
1758585600000,2025-09-23 00:00:00,BTC/USD,112736.16,113354.19,111500.0,112013.61,317.61820998,35577562.30159783
1758499200000,2025-09-22 00:00:00,BTC/USD,115326.73,115474.02,111905.26,112736.16,815.64382282,91952552.51244716
